"name","description","label","instanceType","uuid:ID","parameterMap","id"
"IE_Dict","Dictionary for IE","IE Dictionary","SyntaxTemplateDictionary","5f5aa498-5e55-42b0-bcd8-9833e0e94955","{'min_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""minValue""></usdm:ref>', 'max_age': '<usdm:ref klass=""Range"" id=""Range_3"" attribute=""maxValue""></usdm:ref>', 'StudyPopulation': '<usdm:ref klass=""StudyDesignPopulation"" id=""StudyDesignPopulation_1"" attribute=""description""></usdm:ref>'}","SyntaxTemplateDictionary_1"
"AS_Dict","Dictionary for Study Assessments","Assessment Dictionary","SyntaxTemplateDictionary","0e8f2374-9dc8-4197-8ed5-632daee738c6","{'Activity1': '<usdm:ref klass=""Activity"" id=""Activity_6"" attribute=""label""></usdm:ref>', 'Activity2': '<usdm:ref klass=""Activity"" id=""Activity_5"" attribute=""label""></usdm:ref>'}","SyntaxTemplateDictionary_2"
