"otherReason","uuid:ID","instanceType","id"
"","52da8a80-8b3d-435f-a91a-e64c0956e9b7","StudyAmendmentReason","StudyAmendmentReason_1"
"Fix typographical errors","ad860299-fd74-42e9-a2bc-18fffc2a8129","StudyAmendmentReason","StudyAmendmentReason_2"
