"datatype","label","instanceType","name","uuid:ID","id","isEnabled","isRequired"
"string","Sex","BiomedicalConceptProperty","Sex","71a4aa01-6bfa-435e-9a04-7793064f611b","BiomedicalConceptProperty_116","True","True"
"string","Race","BiomedicalConceptProperty","Race","ebb4cd9c-f1f5-4a49-bd00-bbe34ace705f","BiomedicalConceptProperty_117","True","True"
"","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","61c43b44-cbd8-4fec-80d6-ea50b2b41feb","BiomedicalConceptProperty_118","True","True"
"float","VSORRES","BiomedicalConceptProperty","VSORRES","8035ba1f-246e-4371-b957-208ce86fad96","BiomedicalConceptProperty_119","True","True"
"","VSORRESU","BiomedicalConceptProperty","VSORRESU","796182da-cd2b-409f-a669-a300b6324b55","BiomedicalConceptProperty_120","True","True"
"","VSLOC","BiomedicalConceptProperty","VSLOC","548d0054-d992-424a-8ef2-8d351556c71c","BiomedicalConceptProperty_121","True","True"
"","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","8a1f07f4-199b-4b9a-975a-e9be92c4d820","BiomedicalConceptProperty_122","True","True"
"float","VSORRES","BiomedicalConceptProperty","VSORRES","8afdf491-8fef-45f0-8201-310455fef98c","BiomedicalConceptProperty_123","True","True"
"","VSORRESU","BiomedicalConceptProperty","VSORRESU","b1e7afc6-c181-4c0e-85b8-44f86d0c9c77","BiomedicalConceptProperty_124","True","True"
"","VSTESTCD","BiomedicalConceptProperty","VSTESTCD","d6db7cc4-de4b-4f29-8237-8f24dc2e467c","BiomedicalConceptProperty_125","True","True"
"float","VSORRES","BiomedicalConceptProperty","VSORRES","eef1f217-d110-4297-bcf5-26d7ae23aafb","BiomedicalConceptProperty_126","True","True"
"","VSORRESU","BiomedicalConceptProperty","VSORRESU","4ac9cd0c-6a54-4680-8256-9f63564416c5","BiomedicalConceptProperty_127","True","True"
"","LBTESTCD","BiomedicalConceptProperty","LBTESTCD","cb4ee0df-2d6e-43a7-820f-50af31de8db4","BiomedicalConceptProperty_128","True","True"
"float","LBORRES","BiomedicalConceptProperty","LBORRES","ad2b76ea-78ef-4688-a89d-f205589e1ff7","BiomedicalConceptProperty_129","True","True"
