"uuid:ID","otherReason","id","instanceType"
"ff0dae9e-87ad-4011-85cc-e325ecd0b5cd","","StudyAmendmentReason_1","StudyAmendmentReason"
"d0b8cf2e-51a0-4927-9593-7a5b70acbd20","Fix typographical errors","StudyAmendmentReason_2","StudyAmendmentReason"
