"label","instanceType","name","uuid:ID","description","id"
"IE Dictionary","SyntaxTemplateDictionary","IE_Dict","beb04948-beaa-401a-8bc7-c8fc1ab61f4b","Dictionary for IE","SyntaxTemplateDictionary_1"
"Assessment Dictionary","SyntaxTemplateDictionary","AS_Dict","b1956e02-8726-4179-b430-79975e8e2ff9","Dictionary for Study Assessments","SyntaxTemplateDictionary_2"
