"minValue","maxValue","instanceType","uuid:ID","id","isApproximate"
"300.0","300.0","Range","543bb0db-15d2-45bc-ae7f-8626574e02aa","Range_2","False"
"300.0","300.0","Range","cf7df8c2-1152-4f8e-9c87-afaba730ce87","Range_1","False"
"50.0","100.0","Range","53a598fd-5ae5-4db3-84c8-4528f77deb01","Range_3","False"
