"uuid:ID","instanceType","label","id","name","datatype","isEnabled","isRequired"
"9bebd120-a421-4ad5-ac20-06a58b3d3f03","BiomedicalConceptProperty","Sex","BiomedicalConceptProperty_116","Sex","string","True","True"
"34768a54-43c0-4c8b-a7e1-7a4dfa27c73b","BiomedicalConceptProperty","Race","BiomedicalConceptProperty_117","Race","string","True","True"
"27f86b42-7c1d-4a67-bb73-e0298f42d57b","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_118","VSTESTCD","","True","True"
"fbd3b565-3940-4c5a-a7f4-9339a8e64eff","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_119","VSORRES","float","True","True"
"6ca11a5f-0670-4f54-89fb-bb82ab328c9d","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_120","VSORRESU","","True","True"
"2eba3dc9-e9d5-4061-9b7a-8496e22e6d1f","BiomedicalConceptProperty","VSLOC","BiomedicalConceptProperty_121","VSLOC","","True","True"
"c6ad6bdc-045b-47b0-8142-f97e782e11c6","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_122","VSTESTCD","","True","True"
"b2b1f5d4-0117-431f-b744-3aa155b951e2","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_123","VSORRES","float","True","True"
"1cc7a1e6-1111-46ec-8236-eaba0277e5d1","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_124","VSORRESU","","True","True"
"713a5322-b46d-4464-b604-06f8404acdf6","BiomedicalConceptProperty","VSTESTCD","BiomedicalConceptProperty_125","VSTESTCD","","True","True"
"813dfe3d-a987-4a64-bb0d-25cd66f9ad1b","BiomedicalConceptProperty","VSORRES","BiomedicalConceptProperty_126","VSORRES","float","True","True"
"29041617-18a2-4a9e-a3dd-998a6cad6c2d","BiomedicalConceptProperty","VSORRESU","BiomedicalConceptProperty_127","VSORRESU","","True","True"
"da1bad22-7d53-4cda-a1cf-6d26cfd91c00","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_128","LBTESTCD","","True","True"
"4842201b-b70e-4c9b-9c0a-2d2940d190dd","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_129","LBORRES","float","True","True"
"7ae1da86-985e-4557-b205-764825c3356f","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_130","LBORRESU","","True","True"
"491363cf-b5d2-493d-986c-5571bf0a5705","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_131","LBSPEC","","True","True"
"b08c5795-e3fe-4819-bbf9-fcf712aba61a","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_132","LBFAST","","True","True"
"947a95a1-854d-42d8-8b4b-60e1c48464c4","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_133","LBTESTCD","","True","True"
"69379e53-2783-4eee-b4f6-eb50588b32ce","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_134","LBORRES","text","True","True"
"08aaa901-a20d-4897-91de-d8fa1e0bff68","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_135","LBSPEC","","True","True"
"8e5436cf-1a3f-4a45-9fde-84011b29a926","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_136","LBFAST","","True","True"
"e9e4f19d-2efe-4529-819b-e043f2fba59c","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_137","LBTESTCD","","True","True"
"c979cda3-4ad0-4df2-84f8-bfd2ed62f608","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_138","LBORRES","float","True","True"
"676a1202-c4fd-46c7-8d67-22685c1abf63","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_139","LBORRESU","","True","True"
"d1bcda0e-7de0-41ad-a361-a164ff266980","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_140","LBSPEC","","True","True"
"fdfcc22b-5099-49ff-985e-5f4dae97a32b","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_141","LBFAST","","True","True"
"5782fa31-f00b-49f4-b17a-7acdb02dc031","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_142","LBTESTCD","","True","True"
"b91f7efd-0343-4e2c-8d23-21cf3620ba06","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_143","LBORRES","float","True","True"
"4bbc244a-f176-4aa5-806a-abf2605f1d1f","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_144","LBORRESU","","True","True"
"ded968e1-3295-4b9e-973a-d32d0c93d2c6","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_145","LBSPEC","","True","True"
"f019fd62-20c2-4050-81a5-5986242429ea","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_146","LBFAST","","True","True"
"f4f8dd0a-e3a9-4e39-91ba-40d4708023e9","BiomedicalConceptProperty","LBTESTCD","BiomedicalConceptProperty_147","LBTESTCD","","True","True"
"32ac3a61-c08f-4aec-8249-36761a895a98","BiomedicalConceptProperty","LBORRES","BiomedicalConceptProperty_148","LBORRES","float","True","True"
"44fc931c-b8d9-40ea-9a66-31ac9eca7581","BiomedicalConceptProperty","LBORRESU","BiomedicalConceptProperty_149","LBORRESU","","True","True"
"5a83f11f-28fc-4b8c-ae71-49b9f0c9fd2d","BiomedicalConceptProperty","LBSPEC","BiomedicalConceptProperty_150","LBSPEC","","True","True"
"f7c66fdc-3374-4e54-bf8e-c980a2478768","BiomedicalConceptProperty","LBFAST","BiomedicalConceptProperty_151","LBFAST","","True","True"
