"otherReason","uuid:ID","id","instanceType"
"","fd387e0d-9594-4eff-ad17-83b15d109226","StudyAmendmentReason_1","StudyAmendmentReason"
"Fix typographical errors","e9947bfb-4000-48ad-8d14-d7127c9f5f7d","StudyAmendmentReason_2","StudyAmendmentReason"
