"description","label","id","name","instanceType","uuid:ID"
"Dictionary for IE","IE Dictionary","SyntaxTemplateDictionary_1","IE_Dict","SyntaxTemplateDictionary","a4f965f3-b2f4-47e1-9a9b-01062edac24f"
"Dictionary for Study Assessments","Assessment Dictionary","SyntaxTemplateDictionary_2","AS_Dict","SyntaxTemplateDictionary","3161126e-1d5c-4549-bd3a-5104091d19e1"
