"id","minValue","isApproximate","instanceType","maxValue","uuid:ID"
"Range_2","300.0","False","Range","300.0","f3ed9d7e-3c7e-4be5-a3d3-a646114d0081"
"Range_1","300.0","False","Range","300.0","671cf292-7a45-42a0-9d67-b3781261aea0"
"Range_3","50.0","False","Range","100.0","e80d48ed-4d3f-4fa7-afae-a4061ccef220"
