"label","id","name","isEnabled","isRequired","instanceType","uuid:ID","datatype"
"DSDECOD","BiomedicalConceptProperty_116","DSDECOD","True","True","BiomedicalConceptProperty","b552c166-0661-403c-bbce-ede648a1ccbb","text"
"DSTERM","BiomedicalConceptProperty_117","DSTERM","True","True","BiomedicalConceptProperty","a822eed6-6c6a-4649-aa6a-d81c1f4e79d3","text"
"DSSTDTC","BiomedicalConceptProperty_118","DSSTDTC","True","True","BiomedicalConceptProperty","64819fa7-d887-4296-919a-4ab9b1c80780","datetime"
"Sex","BiomedicalConceptProperty_119","Sex","True","True","BiomedicalConceptProperty","fb4727f9-249a-41be-8f66-028de08b3972","string"
"Race","BiomedicalConceptProperty_120","Race","True","True","BiomedicalConceptProperty","a19d2daa-a08a-43ff-b675-eb3b136ca360","string"
"VSTESTCD","BiomedicalConceptProperty_121","VSTESTCD","True","True","BiomedicalConceptProperty","697287d0-cd05-40fb-a73d-6114d0630929",""
"VSORRES","BiomedicalConceptProperty_122","VSORRES","True","True","BiomedicalConceptProperty","c804ea45-131c-4895-84e9-203f00302a4f","float"
"VSORRESU","BiomedicalConceptProperty_123","VSORRESU","True","True","BiomedicalConceptProperty","2b625c67-0e8c-4240-ae4c-e2e2173a9102",""
"VSLOC","BiomedicalConceptProperty_124","VSLOC","True","True","BiomedicalConceptProperty","cc3c1015-d4a9-44b3-a4e3-2eb593fa4693",""
"VSTESTCD","BiomedicalConceptProperty_125","VSTESTCD","True","True","BiomedicalConceptProperty","f592b941-bd76-439a-8829-9db98ef3c231",""
"VSORRES","BiomedicalConceptProperty_126","VSORRES","True","True","BiomedicalConceptProperty","2fc2c1f9-99a7-4178-8c52-8ce245ed18a8","float"
"VSORRESU","BiomedicalConceptProperty_127","VSORRESU","True","True","BiomedicalConceptProperty","402f619c-26ab-4d48-933e-6936311ea356",""
"VSTESTCD","BiomedicalConceptProperty_128","VSTESTCD","True","True","BiomedicalConceptProperty","b8c0288a-abd2-4ec6-addf-6b45c8ba07bc",""
"VSORRES","BiomedicalConceptProperty_129","VSORRES","True","True","BiomedicalConceptProperty","a3898448-96ca-4b43-9fd0-2213a3d51a76","float"
"VSORRESU","BiomedicalConceptProperty_130","VSORRESU","True","True","BiomedicalConceptProperty","3c439ced-c00a-4c7d-91ff-28308618e366",""
"LBTESTCD","BiomedicalConceptProperty_131","LBTESTCD","True","True","BiomedicalConceptProperty","95812a35-f1fa-4b33-b4eb-7c0e4a594c06",""
"LBORRES","BiomedicalConceptProperty_132","LBORRES","True","True","BiomedicalConceptProperty","60b13487-9fd0-402e-a6d8-72076e575847","float"
"LBORRESU","BiomedicalConceptProperty_133","LBORRESU","True","True","BiomedicalConceptProperty","1674f65a-e2a0-4ee3-be4f-d664db3ed65c",""
"LBSPEC","BiomedicalConceptProperty_134","LBSPEC","True","True","BiomedicalConceptProperty","31222221-b726-4cdf-a65c-d0f527b045dc",""
"LBFAST","BiomedicalConceptProperty_135","LBFAST","True","True","BiomedicalConceptProperty","e8a5938d-092a-4d53-a69d-169eacbd5abc",""
