"description","uuid:ID","id","instanceType","name","label"
"Dictionary for IE","8249d029-1c6c-45a8-bf17-828a0f01f8e5","SyntaxTemplateDictionary_1","SyntaxTemplateDictionary","IE_Dict","IE Dictionary"
"Dictionary for Study Assessments","eab0aa41-b6e3-496b-9bde-0a4a4552c5fd","SyntaxTemplateDictionary_2","SyntaxTemplateDictionary","AS_Dict","Assessment Dictionary"
