"minValue","isApproximate","uuid:ID","id","instanceType","maxValue"
"300.0","False","06a8eebf-b9ca-4a33-bad5-2cd0efdcc1d4","Range_2","Range","300.0"
"300.0","False","09b6e3ba-ce4d-45c5-b6c5-910742bf23d5","Range_1","Range","300.0"
"50.0","False","8f896afc-d696-4150-bbaa-6bac1afef8a7","Range_3","Range","100.0"
