"id","uuid:ID","otherReason","instanceType"
"StudyAmendmentReason_1","13706dac-bfe0-4ee2-8003-cb0176f9942d","","StudyAmendmentReason"
"StudyAmendmentReason_2","0282f3a6-e935-4587-809a-16e4c1bd9df8","Fix typographical errors","StudyAmendmentReason"
