"description","dateValue","uuid:ID","id","instanceType","name","label"
"Design approval date","2006-06-01","323f9b21-abc1-49b3-8a12-e3540dd512b4","GovernanceDate_1","GovernanceDate","D_APPROVE","Design Approval"
"Protocol document approval date","2006-07-01","9ceb971d-b891-4ab7-9392-c05572573ae9","GovernanceDate_2","GovernanceDate","P_APPROVE","Protocol Approval"
