"isRequired","datatype","uuid:ID","isEnabled","id","instanceType","name","label"
"True","string","982e4850-223b-438d-b06f-c4d4063ee489","True","BiomedicalConceptProperty_116","BiomedicalConceptProperty","Sex","Sex"
"True","string","7b7f6b99-a099-4d22-ac8f-361c3dbfc54f","True","BiomedicalConceptProperty_117","BiomedicalConceptProperty","Race","Race"
"True","","b30fb8db-b543-4ac3-8d33-91cac153f424","True","BiomedicalConceptProperty_118","BiomedicalConceptProperty","VSTESTCD","VSTESTCD"
"True","float","1a4d0c5d-f8b7-420f-8a66-cf51764375ae","True","BiomedicalConceptProperty_119","BiomedicalConceptProperty","VSORRES","VSORRES"
"True","","c0f97fc6-fb50-4be6-97ec-8805b71ae3e9","True","BiomedicalConceptProperty_120","BiomedicalConceptProperty","VSORRESU","VSORRESU"
"True","","ede9d439-f620-408b-9d6b-ed5d808a61ba","True","BiomedicalConceptProperty_121","BiomedicalConceptProperty","VSLOC","VSLOC"
"True","","f3f4428e-6fa2-4e5d-80af-a5d3e29ac18c","True","BiomedicalConceptProperty_122","BiomedicalConceptProperty","VSTESTCD","VSTESTCD"
"True","float","94a6aa54-a152-4b98-b85c-36f92a266301","True","BiomedicalConceptProperty_123","BiomedicalConceptProperty","VSORRES","VSORRES"
"True","","06c40ac1-522e-49aa-a44b-0708a0e6ba31","True","BiomedicalConceptProperty_124","BiomedicalConceptProperty","VSORRESU","VSORRESU"
"True","","236e3ce2-ac58-441e-9995-768f887ee1e4","True","BiomedicalConceptProperty_125","BiomedicalConceptProperty","VSTESTCD","VSTESTCD"
"True","float","f32a719f-ba81-47cc-8703-23bdfb989787","True","BiomedicalConceptProperty_126","BiomedicalConceptProperty","VSORRES","VSORRES"
"True","","8915ac6b-97a2-4c73-8819-6375774ab26b","True","BiomedicalConceptProperty_127","BiomedicalConceptProperty","VSORRESU","VSORRESU"
"True","","b87aa39e-9020-437c-bff8-4def3c6d812a","True","BiomedicalConceptProperty_128","BiomedicalConceptProperty","LBTESTCD","LBTESTCD"
"True","float","f5efe157-8363-4404-9514-c042f554f696","True","BiomedicalConceptProperty_129","BiomedicalConceptProperty","LBORRES","LBORRES"
"True","","237f6d0c-7f49-4af4-89ed-0b311875e40e","True","BiomedicalConceptProperty_130","BiomedicalConceptProperty","LBORRESU","LBORRESU"
"True","","c6028875-7a56-4816-a450-960e7ede5b80","True","BiomedicalConceptProperty_131","BiomedicalConceptProperty","LBSPEC","LBSPEC"
"True","","f74fc2cc-5838-498e-8872-4fe856167025","True","BiomedicalConceptProperty_132","BiomedicalConceptProperty","LBFAST","LBFAST"
"True","","05fc1599-0574-4ed8-9f20-24cfb05d52d0","True","BiomedicalConceptProperty_133","BiomedicalConceptProperty","LBTESTCD","LBTESTCD"
"True","text","a8fe0f90-4953-4365-a039-6103e0a441d2","True","BiomedicalConceptProperty_134","BiomedicalConceptProperty","LBORRES","LBORRES"
"True","","8d1500e1-2008-4150-ba55-35d62ea8b214","True","BiomedicalConceptProperty_135","BiomedicalConceptProperty","LBSPEC","LBSPEC"
"True","","b8d02996-d75e-41bb-bcb6-5ea322a52186","True","BiomedicalConceptProperty_136","BiomedicalConceptProperty","LBFAST","LBFAST"
"True","","518bffef-b04e-4398-994a-7ef979b3d14a","True","BiomedicalConceptProperty_137","BiomedicalConceptProperty","LBTESTCD","LBTESTCD"
"True","float","c3cfc7f2-a82f-45a7-bd70-ed961e446226","True","BiomedicalConceptProperty_138","BiomedicalConceptProperty","LBORRES","LBORRES"
"True","","f0a408b7-2041-467c-90e3-1b54392e4496","True","BiomedicalConceptProperty_139","BiomedicalConceptProperty","LBORRESU","LBORRESU"
"True","","747dfb4c-e5f1-4aec-be84-5c9fd0a69102","True","BiomedicalConceptProperty_140","BiomedicalConceptProperty","LBSPEC","LBSPEC"
"True","","5ae63818-b4ba-4c41-914c-590c03c898a4","True","BiomedicalConceptProperty_141","BiomedicalConceptProperty","LBFAST","LBFAST"
"True","","6358c32f-e800-46b0-bceb-83a758de3fa4","True","BiomedicalConceptProperty_142","BiomedicalConceptProperty","LBTESTCD","LBTESTCD"
"True","float","f1e67878-0a76-4756-bb4a-e764b6ff66d8","True","BiomedicalConceptProperty_143","BiomedicalConceptProperty","LBORRES","LBORRES"
