"uuid:ID","id","otherReason","instanceType"
"4dead615-e342-49bb-ab83-aade500b8d9a","StudyAmendmentReason_1","","StudyAmendmentReason"
"91bc7803-8c26-47a9-93da-230c29117543","StudyAmendmentReason_2","Fix typographical errors","StudyAmendmentReason"
