"name","isRequired","instanceType","isEnabled","uuid:ID","id","label","datatype"
"Sex","True","BiomedicalConceptProperty","True","32090b02-bcfd-49f6-a71b-e36c0af4e638","BiomedicalConceptProperty_116","Sex","string"
"Race","True","BiomedicalConceptProperty","True","d11c9677-a81c-4280-9425-a06b44d76212","BiomedicalConceptProperty_117","Race","string"
"VSTESTCD","True","BiomedicalConceptProperty","True","e82f5f98-c5f5-45ba-8cd8-3db0d2e48f6c","BiomedicalConceptProperty_118","VSTESTCD",""
"VSORRES","True","BiomedicalConceptProperty","True","5281dfec-29a8-45b8-b49c-680f041d2497","BiomedicalConceptProperty_119","VSORRES","float"
"VSORRESU","True","BiomedicalConceptProperty","True","ad7210bf-0e4a-4f31-a71f-8e7e9a49e744","BiomedicalConceptProperty_120","VSORRESU",""
"VSLOC","True","BiomedicalConceptProperty","True","107216b3-94bc-444b-aa3b-7fe5fbe4e85a","BiomedicalConceptProperty_121","VSLOC",""
"VSTESTCD","True","BiomedicalConceptProperty","True","3109d39c-e3dc-42b9-a561-74732d91e165","BiomedicalConceptProperty_122","VSTESTCD",""
"VSORRES","True","BiomedicalConceptProperty","True","6b2db92e-4932-4992-a5d7-d771b71fc612","BiomedicalConceptProperty_123","VSORRES","float"
"VSORRESU","True","BiomedicalConceptProperty","True","d15d5ecb-b045-4df5-a277-06136ae5c5b9","BiomedicalConceptProperty_124","VSORRESU",""
"VSTESTCD","True","BiomedicalConceptProperty","True","2124fcc4-adba-4d3b-838e-6ae4f0a66c92","BiomedicalConceptProperty_125","VSTESTCD",""
"VSORRES","True","BiomedicalConceptProperty","True","ca9491a5-1c13-425c-b2bb-d62e12d1f799","BiomedicalConceptProperty_126","VSORRES","float"
"VSORRESU","True","BiomedicalConceptProperty","True","3949910f-c8e7-4a73-b24f-010761fb5f0c","BiomedicalConceptProperty_127","VSORRESU",""
"LBTESTCD","True","BiomedicalConceptProperty","True","bd400eac-7ea5-495b-9b10-856571703e00","BiomedicalConceptProperty_128","LBTESTCD",""
"LBORRES","True","BiomedicalConceptProperty","True","2b415b03-2a83-44de-96cb-a870ba2606d3","BiomedicalConceptProperty_129","LBORRES","float"
"LBORRESU","True","BiomedicalConceptProperty","True","3bca25f0-4c38-4f0f-a5f4-0fd1335bd4dc","BiomedicalConceptProperty_130","LBORRESU",""
"LBSPEC","True","BiomedicalConceptProperty","True","d2ff44b3-1968-4baf-9793-683353085c95","BiomedicalConceptProperty_131","LBSPEC",""
"LBFAST","True","BiomedicalConceptProperty","True","e3694dfe-beb8-4f48-938e-2b98607b0fd7","BiomedicalConceptProperty_132","LBFAST",""
