"minValue","isApproximate","instanceType","uuid:ID","id","maxValue"
"300.0","False","Range","c9fcdf16-6e8a-43d3-a893-1f4103d8dc0b","Range_2","300.0"
"300.0","False","Range","6dbb5316-9a4a-44fc-97f3-8cc6bd49ba1f","Range_1","300.0"
"50.0","False","Range","91c3bb15-868b-4e5b-a4bc-b6bec3fe1347","Range_3","100.0"
