"name","description","instanceType","uuid:ID","id","label"
"IE_Dict","Dictionary for IE","SyntaxTemplateDictionary","a8c090ca-89c1-44bb-baf6-0218a7c1b300","SyntaxTemplateDictionary_1","IE Dictionary"
"AS_Dict","Dictionary for Study Assessments","SyntaxTemplateDictionary","ba24cb5b-1e8e-4a28-8cd7-1ab3812f66df","SyntaxTemplateDictionary_2","Assessment Dictionary"
