"uuid:ID","otherReason","instanceType","id"
"fe78f7c5-fcf9-4425-9f5e-656c897c3dde","","StudyAmendmentReason","StudyAmendmentReason_1"
"46fd98d0-bf71-492a-a369-c72d4a3ab1c4","Fix typographical errors","StudyAmendmentReason","StudyAmendmentReason_2"
