"uuid:ID","label","name","dateValue","description","id","instanceType"
"f6fba40b-149e-4878-9423-185c5b7049de","Design Approval","D_APPROVE","2006-06-01","Design approval date","GovernanceDate_1","GovernanceDate"
"0697dc6c-f76c-4a3a-82b1-2d0752a48850","Protocol Approval","P_APPROVE","2006-07-01","Protocol document approval date","GovernanceDate_2","GovernanceDate"
