"uuid:ID","label","datatype","isEnabled","name","id","instanceType","isRequired"
"01a0a0ea-e41e-44a6-909a-9f12620bee8a","Sex","string","True","Sex","BiomedicalConceptProperty_116","BiomedicalConceptProperty","True"
"86654165-8638-4c39-8b4c-dddf626e82fd","Race","string","True","Race","BiomedicalConceptProperty_117","BiomedicalConceptProperty","True"
"fa9f58d6-6216-4b37-9a58-c5bf2d539ffb","VSTESTCD","","True","VSTESTCD","BiomedicalConceptProperty_118","BiomedicalConceptProperty","True"
"f90e0d23-15bf-487e-8119-8e87e42dd93a","VSORRES","float","True","VSORRES","BiomedicalConceptProperty_119","BiomedicalConceptProperty","True"
"a3e6a661-ea51-4ea9-bc9c-bfa57c7be3f5","VSORRESU","","True","VSORRESU","BiomedicalConceptProperty_120","BiomedicalConceptProperty","True"
"dfcd9bf6-28df-4db0-9c09-ea888f80370f","VSLOC","","True","VSLOC","BiomedicalConceptProperty_121","BiomedicalConceptProperty","True"
"ef0a8448-7b23-4797-9948-e160b8f0a95e","VSTESTCD","","True","VSTESTCD","BiomedicalConceptProperty_122","BiomedicalConceptProperty","True"
"291239e7-665c-48a0-964a-4a9cdbac2d39","VSORRES","float","True","VSORRES","BiomedicalConceptProperty_123","BiomedicalConceptProperty","True"
"9f8f5e90-caed-4db8-8387-130e1ed8c388","VSORRESU","","True","VSORRESU","BiomedicalConceptProperty_124","BiomedicalConceptProperty","True"
"8991f8f3-0880-4007-a1e3-3612356c153f","VSTESTCD","","True","VSTESTCD","BiomedicalConceptProperty_125","BiomedicalConceptProperty","True"
"86f69709-7424-41b9-b820-32e312cc07d2","VSORRES","float","True","VSORRES","BiomedicalConceptProperty_126","BiomedicalConceptProperty","True"
"2ed7a5f9-7346-4da2-851d-5f6d0c474ccb","VSORRESU","","True","VSORRESU","BiomedicalConceptProperty_127","BiomedicalConceptProperty","True"
"a46b6488-23fe-4d42-a84a-3dc8784e1372","LBTESTCD","","True","LBTESTCD","BiomedicalConceptProperty_128","BiomedicalConceptProperty","True"
"f87b5314-34ca-45bd-9061-1000eb552e26","LBORRES","float","True","LBORRES","BiomedicalConceptProperty_129","BiomedicalConceptProperty","True"
"a4237c54-8ea3-4c94-af49-07382f5e1662","LBORRESU","","True","LBORRESU","BiomedicalConceptProperty_130","BiomedicalConceptProperty","True"
"09a87667-1949-4890-9e3f-488805e8ab25","LBSPEC","","True","LBSPEC","BiomedicalConceptProperty_131","BiomedicalConceptProperty","True"
"33d2f989-5fa5-4708-8ad9-430fabdde038","LBFAST","","True","LBFAST","BiomedicalConceptProperty_132","BiomedicalConceptProperty","True"
"53e945d5-f6fe-4e1c-8cde-20e344ec175d","LBTESTCD","","True","LBTESTCD","BiomedicalConceptProperty_133","BiomedicalConceptProperty","True"
"81325ad1-1510-493a-9f75-d0c5068ea56b","LBORRES","text","True","LBORRES","BiomedicalConceptProperty_134","BiomedicalConceptProperty","True"
"a61c7675-9dfd-4186-83a2-38c9b8294473","LBSPEC","","True","LBSPEC","BiomedicalConceptProperty_135","BiomedicalConceptProperty","True"
"1a9cc4b7-51c2-4db1-9500-7db747d88b74","LBFAST","","True","LBFAST","BiomedicalConceptProperty_136","BiomedicalConceptProperty","True"
"87bd2299-96fe-4847-a350-b539787da6f5","LBTESTCD","","True","LBTESTCD","BiomedicalConceptProperty_137","BiomedicalConceptProperty","True"
"efb29898-0e45-4cc7-8310-a478665f1aa1","LBORRES","float","True","LBORRES","BiomedicalConceptProperty_138","BiomedicalConceptProperty","True"
"19b47a14-6d51-4720-8552-0b98c30670c7","LBORRESU","","True","LBORRESU","BiomedicalConceptProperty_139","BiomedicalConceptProperty","True"
"f1f3d3a7-0a4b-460d-b184-1bb2ad87193e","LBSPEC","","True","LBSPEC","BiomedicalConceptProperty_140","BiomedicalConceptProperty","True"
"4832db67-1e56-46ee-9522-ea1a6114234c","LBFAST","","True","LBFAST","BiomedicalConceptProperty_141","BiomedicalConceptProperty","True"
"65094aa0-0c28-4ef9-bca3-4eb87be93e1c","LBTESTCD","","True","LBTESTCD","BiomedicalConceptProperty_142","BiomedicalConceptProperty","True"
"0eddd9cd-2a06-4d6b-bf91-e15a7462969e","LBORRES","float","True","LBORRES","BiomedicalConceptProperty_143","BiomedicalConceptProperty","True"
"95091830-98ad-4f4d-bee7-56f594916f0a","LBORRESU","","True","LBORRESU","BiomedicalConceptProperty_144","BiomedicalConceptProperty","True"
"b2264643-a442-41de-8675-a40ff861cfe8","LBSPEC","","True","LBSPEC","BiomedicalConceptProperty_145","BiomedicalConceptProperty","True"
"14289e86-523f-4495-bc9d-d2dd568315f2","LBFAST","","True","LBFAST","BiomedicalConceptProperty_146","BiomedicalConceptProperty","True"
"1d4121c4-10a5-4221-ad98-e90d458e35e7","LBTESTCD","","True","LBTESTCD","BiomedicalConceptProperty_147","BiomedicalConceptProperty","True"
"08349445-88b4-4d5c-9624-956fc081038b","LBORRES","float","True","LBORRES","BiomedicalConceptProperty_148","BiomedicalConceptProperty","True"
"e786cdc1-690d-47bb-9abb-28f8e31ab551","LBORRESU","","True","LBORRESU","BiomedicalConceptProperty_149","BiomedicalConceptProperty","True"
"9123b26a-105a-461c-af60-49f0dcdab341","LBSPEC","","True","LBSPEC","BiomedicalConceptProperty_150","BiomedicalConceptProperty","True"
"3c468fdf-5f18-4de1-80f5-73bcd6f14291","LBFAST","","True","LBFAST","BiomedicalConceptProperty_151","BiomedicalConceptProperty","True"
"e3ce348f-ce5b-4412-97f4-d2fac879b14f","LBTESTCD","","True","LBTESTCD","BiomedicalConceptProperty_152","BiomedicalConceptProperty","True"
"6e676da1-09e3-48d1-9843-a73a95cbcf30","LBORRES","float","True","LBORRES","BiomedicalConceptProperty_153","BiomedicalConceptProperty","True"
"56e21f5b-7d6b-448a-ae66-3a9b6d5301e8","LBORRESU","","True","LBORRESU","BiomedicalConceptProperty_154","BiomedicalConceptProperty","True"
"52da86c8-e511-4f02-b9f1-fce3b96419c3","LBSPEC","","True","LBSPEC","BiomedicalConceptProperty_155","BiomedicalConceptProperty","True"
"3ddff7ef-3ff1-4547-bb6b-66414b36004a","LBFAST","","True","LBFAST","BiomedicalConceptProperty_156","BiomedicalConceptProperty","True"
"055fac5d-ca24-4fe9-a651-8a0bbd548723","LBTESTCD","","True","LBTESTCD","BiomedicalConceptProperty_157","BiomedicalConceptProperty","True"
