"uuid:ID","label","name","description","id","instanceType"
"236adeed-a107-4e65-bf9f-19a20256459b","Screening","Screening","Screening Epoch","StudyEpoch_1","StudyEpoch"
"754920b2-9ba0-4d24-b533-891efa09b149","Treatment One","Treatment 1","Treatment Epoch","StudyEpoch_2","StudyEpoch"
"2e9a6376-7e3b-416a-b490-ff6d29a1eabe","Treatment Two","Treatment 2","Treatment Epoch","StudyEpoch_3","StudyEpoch"
"a07f2fd3-078f-4823-8541-d737e36a9fec","Treatment Three","Treatment 3","Treatment Epoch","StudyEpoch_4","StudyEpoch"
"5c3af182-a292-48ac-b01a-a7c18857ed16","Follow Up","Follow-Up","Follow-up Epoch","StudyEpoch_5","StudyEpoch"
