"studyIdentifier","instanceType","id","uuid:ID"
"I8R-JE-IGBJ","StudyIdentifier","StudyIdentifier_1","32e01ed2-513f-42c5-aef4-8dcb2c49c0c9"
"NCT03421379","StudyIdentifier","StudyIdentifier_2","a285700f-e1dc-4553-9be9-5f3a24643474"
