"id","description","label","name","instanceType","uuid:ID"
"StudyIntervention_1","LY900018","LY900018","LY","StudyIntervention","b51e04b1-f898-4f77-aeb9-3c55c9c0aaa1"
"StudyIntervention_2","Glucagon","GlucaGen","IMG","StudyIntervention","8f484440-d824-4757-a236-3a27f82e7761"
