"id","description","label","dataOriginDescription","name","instanceType","uuid:ID"
"StudyArm_1","LY900018-IMG","","Data collected from subjects","LY-G","StudyArm","573bbb88-6b3b-4373-a8a0-84cd1b62fdf0"
"StudyArm_2","IMG-LY900018","","Data collected from subjects","G-LY","StudyArm","f5f73bdf-2c17-4195-9ac3-07d10a74f57f"
