"id","maxValue","minValue","isApproximate","instanceType","uuid:ID"
"Range_2","75.0","75.0","False","Range","d2992118-fbbf-4c62-baee-dbf96f4c204b"
"Range_1","66.0","66.0","False","Range","3304603a-89d0-4779-99d6-65976ba360b1"
"Range_3","30.0","30.0","False","Range","bdc639da-8548-4ce0-a4a5-bfec40d84556"
"Range_4","64.0","18.0","False","Range","33399d67-e319-42e9-b1f8-0248eb9f01bf"
"Range_5","30.0","30.0","False","Range","889be399-3390-4a34-b7d6-0ff493aededb"
"Range_6","70.0","20.0","False","Range","02badb2b-fec0-498f-ba57-d2469d18f24e"
