"otherReason","id","instanceType","uuid:ID"
"","StudyAmendmentReason_1","StudyAmendmentReason","ae0abb21-aa6f-47f2-b560-160b12881d58"
"Fix typographical errors","StudyAmendmentReason_2","StudyAmendmentReason","3c44f386-11a2-421d-8ab7-945054341eaf"
