"name","isEnabled","label","uuid:ID","isRequired","id","instanceType","datatype"
"DSDECOD","True","DSDECOD","6e1cfe59-730f-4b10-878d-424a44fb33d4","True","BiomedicalConceptProperty_116","BiomedicalConceptProperty","text"
"DSTERM","True","DSTERM","52277621-96bc-4b2e-8e72-428b386487a1","True","BiomedicalConceptProperty_117","BiomedicalConceptProperty","text"
"DSSTDTC","True","DSSTDTC","b7029a3a-33f5-4b5c-bf65-1d987ef7c943","True","BiomedicalConceptProperty_118","BiomedicalConceptProperty","datetime"
"Sex","True","Sex","e3aecbd9-d0c3-4291-b896-f0c55c193137","True","BiomedicalConceptProperty_119","BiomedicalConceptProperty","string"
"Race","True","Race","6f6f40c6-2329-407c-98f1-f053f1d797c8","True","BiomedicalConceptProperty_120","BiomedicalConceptProperty","string"
"VSTESTCD","True","VSTESTCD","f70f1343-354c-4af0-b13a-354de5ead398","True","BiomedicalConceptProperty_121","BiomedicalConceptProperty",""
"VSORRES","True","VSORRES","e847e2ff-470d-4e41-94b1-8eeb45b2aa21","True","BiomedicalConceptProperty_122","BiomedicalConceptProperty","float"
"VSORRESU","True","VSORRESU","1ea6b854-1bc7-43a8-ae9d-1e29c09f15f5","True","BiomedicalConceptProperty_123","BiomedicalConceptProperty",""
"VSLOC","True","VSLOC","85654009-e41d-45d3-8119-16576cfc7af3","True","BiomedicalConceptProperty_124","BiomedicalConceptProperty",""
"VSTESTCD","True","VSTESTCD","6221c1aa-d0de-42d3-9a67-f67af9706138","True","BiomedicalConceptProperty_125","BiomedicalConceptProperty",""
"VSORRES","True","VSORRES","82a8df3a-b3db-4a8f-afb6-3c026853feb7","True","BiomedicalConceptProperty_126","BiomedicalConceptProperty","float"
"VSORRESU","True","VSORRESU","ddc2a42d-a117-41db-9396-052e7c68e78d","True","BiomedicalConceptProperty_127","BiomedicalConceptProperty",""
"VSTESTCD","True","VSTESTCD","265bee88-73a9-4809-bb5a-638712197b9d","True","BiomedicalConceptProperty_128","BiomedicalConceptProperty",""
"VSORRES","True","VSORRES","df7d0dc7-fea3-42b4-b556-975348a1715d","True","BiomedicalConceptProperty_129","BiomedicalConceptProperty","float"
"VSORRESU","True","VSORRESU","7f1d6188-b0f8-4ca5-babb-3948a1eecdb2","True","BiomedicalConceptProperty_130","BiomedicalConceptProperty",""
"LBTESTCD","True","LBTESTCD","0db4d2ca-5a50-4b9d-81b9-0267392659ca","True","BiomedicalConceptProperty_131","BiomedicalConceptProperty",""
"LBORRES","True","LBORRES","6d0e57ca-9628-40b1-99d1-531fb4931e09","True","BiomedicalConceptProperty_132","BiomedicalConceptProperty","float"
"LBORRESU","True","LBORRESU","153fac16-e8bb-4c28-adec-bf85efb9441c","True","BiomedicalConceptProperty_133","BiomedicalConceptProperty",""
"LBSPEC","True","LBSPEC","fa9b55c4-9146-4476-b0e9-debcbdfe3865","True","BiomedicalConceptProperty_134","BiomedicalConceptProperty",""
"LBFAST","True","LBFAST","fca76ec9-6ec1-4114-8717-ea89b3781d55","True","BiomedicalConceptProperty_135","BiomedicalConceptProperty",""
"LBTESTCD","True","LBTESTCD","4f31a6a4-50bf-4cc1-974e-7cbaba659bac","True","BiomedicalConceptProperty_136","BiomedicalConceptProperty",""
"LBORRES","True","LBORRES","277532ad-9127-488a-835c-45a7a5aa20bd","True","BiomedicalConceptProperty_137","BiomedicalConceptProperty","text"
"LBSPEC","True","LBSPEC","f1447bf9-eabc-4a4c-80c4-b6561421a288","True","BiomedicalConceptProperty_138","BiomedicalConceptProperty",""
"LBFAST","True","LBFAST","8889bb32-1515-4336-ab28-ddba92887f7c","True","BiomedicalConceptProperty_139","BiomedicalConceptProperty",""
"LBTESTCD","True","LBTESTCD","fd470184-b0df-4d4a-987c-66decb8185f4","True","BiomedicalConceptProperty_140","BiomedicalConceptProperty",""
"LBORRES","True","LBORRES","4f766359-327b-40dd-b147-54d3949ae384","True","BiomedicalConceptProperty_141","BiomedicalConceptProperty","float"
"LBORRESU","True","LBORRESU","ec8ad6ca-e680-4645-a88b-be192b222d78","True","BiomedicalConceptProperty_142","BiomedicalConceptProperty",""
"LBSPEC","True","LBSPEC","328618e1-f891-4575-9510-69c6dcf99c85","True","BiomedicalConceptProperty_143","BiomedicalConceptProperty",""
"LBFAST","True","LBFAST","1bff3e7f-5d22-4af6-8930-dee182e2af79","True","BiomedicalConceptProperty_144","BiomedicalConceptProperty",""
"LBTESTCD","True","LBTESTCD","b38277a1-51f4-4b53-85eb-31b52e30ea01","True","BiomedicalConceptProperty_145","BiomedicalConceptProperty",""
"LBORRES","True","LBORRES","d56d5a30-17a7-4be5-b4c8-dca70d3709a4","True","BiomedicalConceptProperty_146","BiomedicalConceptProperty","float"
"LBORRESU","True","LBORRESU","e7f2378c-8af5-41f8-9975-c6c042188286","True","BiomedicalConceptProperty_147","BiomedicalConceptProperty",""
"LBSPEC","True","LBSPEC","cb5804f7-7143-4fae-a41b-aa9005938eff","True","BiomedicalConceptProperty_148","BiomedicalConceptProperty",""
"LBFAST","True","LBFAST","ffe52f9f-d9f0-40cb-9501-0513c4dacf34","True","BiomedicalConceptProperty_149","BiomedicalConceptProperty",""
"LBTESTCD","True","LBTESTCD","4f38efac-5364-424f-b08f-92608c66bddb","True","BiomedicalConceptProperty_150","BiomedicalConceptProperty",""
"LBORRES","True","LBORRES","89db1cae-0fda-424b-9f4e-5fd69ba94d0a","True","BiomedicalConceptProperty_151","BiomedicalConceptProperty","float"
"LBORRESU","True","LBORRESU","cb65e951-6aac-453d-853e-fe2a762701e3","True","BiomedicalConceptProperty_152","BiomedicalConceptProperty",""
"LBSPEC","True","LBSPEC","eca67970-c1cd-4e39-81e1-803bb54e3153","True","BiomedicalConceptProperty_153","BiomedicalConceptProperty",""
"LBFAST","True","LBFAST","80a58218-7770-40aa-8a6b-8c7c073e0329","True","BiomedicalConceptProperty_154","BiomedicalConceptProperty",""
"LBTESTCD","True","LBTESTCD","abc944d9-4d70-4755-99eb-d4ad12ed1fb1","True","BiomedicalConceptProperty_155","BiomedicalConceptProperty",""
"LBORRES","True","LBORRES","a14b0c83-67df-4260-bca5-29e095943a25","True","BiomedicalConceptProperty_156","BiomedicalConceptProperty","float"
"LBORRESU","True","LBORRESU","9b39e229-a86a-4655-babb-b7ac508e601a","True","BiomedicalConceptProperty_157","BiomedicalConceptProperty",""
"LBSPEC","True","LBSPEC","14e42bdd-5a74-4560-a44e-41ee5b2acd1f","True","BiomedicalConceptProperty_158","BiomedicalConceptProperty",""
"LBFAST","True","LBFAST","ad5c6777-347d-4261-a1ee-2953d9487bf0","True","BiomedicalConceptProperty_159","BiomedicalConceptProperty",""
"LBTESTCD","True","LBTESTCD","65dacef7-9d40-4598-b5ec-59711eaf5db3","True","BiomedicalConceptProperty_160","BiomedicalConceptProperty",""
"LBORRES","True","LBORRES","2d23aa27-7d8d-4bcd-acaf-48731793416b","True","BiomedicalConceptProperty_161","BiomedicalConceptProperty","float"
"LBORRESU","True","LBORRESU","affb02d8-efa8-45a0-9e43-81015444e121","True","BiomedicalConceptProperty_162","BiomedicalConceptProperty",""
