"otherReason","instanceType","id","uuid:ID"
"","StudyAmendmentReason","StudyAmendmentReason_1","e5e1a54e-d08b-4641-a7a5-fdbe6542c4b2"
"Fix typographical errors","StudyAmendmentReason","StudyAmendmentReason_2","a670a515-f5c3-4906-bc8b-cca47ef13485"
