"description","instanceType","dateValue","uuid:ID","name","id","label"
"Design approval date","GovernanceDate","2006-06-01","a47deb79-55c7-430c-82cf-6eb1d2eea297","D_APPROVE","GovernanceDate_1","Design Approval"
"Protocol document approval date","GovernanceDate","2006-07-01","5d9cdcc5-7f79-4860-898e-ec4ccc0c5a3d","P_APPROVE","GovernanceDate_2","Protocol Approval"
