"instanceType","maxValue","uuid:ID","isApproximate","minValue","id"
"Range","300.0","9f88bd29-2a54-4a34-b396-82bf6e836c73","False","300.0","Range_2"
"Range","300.0","c27be5df-1f3d-4c71-a02f-2a0e69f360ec","False","300.0","Range_1"
"Range","100.0","5dd53783-d7d5-4007-8fd4-acbc58dcdd98","False","50.0","Range_3"
