"instanceType","uuid:ID","id","label","isEnabled","name","isRequired","datatype"
"BiomedicalConceptProperty","edbc9f38-5ba7-450b-8daa-e1fc9e8f8bb9","BiomedicalConceptProperty_116","Sex","True","Sex","True","string"
"BiomedicalConceptProperty","acd626e4-b812-418b-bed0-370cc42dabc6","BiomedicalConceptProperty_117","Race","True","Race","True","string"
"BiomedicalConceptProperty","2f9103bc-8eee-493a-b23a-c8775daad670","BiomedicalConceptProperty_118","VSTESTCD","True","VSTESTCD","True",""
"BiomedicalConceptProperty","3e0e5829-6635-4e80-a97b-2213da0db8b9","BiomedicalConceptProperty_119","VSORRES","True","VSORRES","True","float"
"BiomedicalConceptProperty","9a23061c-d68b-4c32-9b83-017d0a149272","BiomedicalConceptProperty_120","VSORRESU","True","VSORRESU","True",""
"BiomedicalConceptProperty","15bf6360-9476-4427-92c4-8507ba8a6dcb","BiomedicalConceptProperty_121","VSLOC","True","VSLOC","True",""
"BiomedicalConceptProperty","5c4329d8-37cc-444b-bdf9-d84fbfd23db1","BiomedicalConceptProperty_122","VSTESTCD","True","VSTESTCD","True",""
"BiomedicalConceptProperty","2770a115-03f6-4461-8545-3e13eeb6c5d2","BiomedicalConceptProperty_123","VSORRES","True","VSORRES","True","float"
"BiomedicalConceptProperty","1ca2bae1-db8b-4117-953a-4c896225a1e7","BiomedicalConceptProperty_124","VSORRESU","True","VSORRESU","True",""
"BiomedicalConceptProperty","67c7d516-b9eb-43e9-977a-7df6c74034c7","BiomedicalConceptProperty_125","VSTESTCD","True","VSTESTCD","True",""
"BiomedicalConceptProperty","f4b5647e-83e9-4115-a29c-733b560b7f83","BiomedicalConceptProperty_126","VSORRES","True","VSORRES","True","float"
"BiomedicalConceptProperty","ad056003-188c-497e-ab7b-84cb633f273f","BiomedicalConceptProperty_127","VSORRESU","True","VSORRESU","True",""
"BiomedicalConceptProperty","7d539520-4d66-4f91-9e02-faf068a9ff18","BiomedicalConceptProperty_128","LBTESTCD","True","LBTESTCD","True",""
"BiomedicalConceptProperty","02bc98bb-43f3-4104-af16-e76c16dae7da","BiomedicalConceptProperty_129","LBORRES","True","LBORRES","True","float"
"BiomedicalConceptProperty","722c4ca5-5b21-4045-9799-c12c60e02b46","BiomedicalConceptProperty_130","LBORRESU","True","LBORRESU","True",""
"BiomedicalConceptProperty","f5f6786e-eb3c-4d50-8f32-73a8cd6cc607","BiomedicalConceptProperty_131","LBSPEC","True","LBSPEC","True",""
"BiomedicalConceptProperty","232dba50-8e8e-4436-97a8-4ddcfb7f74c3","BiomedicalConceptProperty_132","LBFAST","True","LBFAST","True",""
"BiomedicalConceptProperty","9dce5ba4-3448-4c08-ae06-eacc205dd9e7","BiomedicalConceptProperty_133","LBTESTCD","True","LBTESTCD","True",""
