"instanceType","uuid:ID","id","isApproximate","maxValue","minValue"
"Range","cdd039b1-e579-48f4-a12e-82db756a28dd","Range_2","False","300.0","300.0"
"Range","e2dd9a27-9329-4f34-a2c4-ffb64b6d9354","Range_1","False","300.0","300.0"
"Range","7ec19bba-ddea-4c28-ad3a-b25101133c31","Range_3","False","100.0","50.0"
