"instanceType","uuid:ID","id","dateValue","description","label","name"
"GovernanceDate","8ea7e011-4a38-4707-944c-15392477907e","GovernanceDate_1","2006-06-01","Design approval date","Design Approval","D_APPROVE"
"GovernanceDate","934a6a31-6e1d-47f0-85d7-fdfb55327a35","GovernanceDate_2","2006-07-01","Protocol document approval date","Protocol Approval","P_APPROVE"
