"instanceType","uuid:ID","id","otherReason"
"StudyAmendmentReason","5274be25-edcb-4e66-838f-f75eb6b3cf2c","StudyAmendmentReason_1",""
"StudyAmendmentReason","24e6939a-c68a-460b-b281-0efd5fd4c51a","StudyAmendmentReason_2","Fix typographical errors"
