"instanceType","maxValue","id","isApproximate","uuid:ID","minValue"
"Range","300.0","Range_2","False","b82593d8-c928-4188-903b-38a2989afad1","300.0"
"Range","300.0","Range_1","False","efb626c0-26f5-41a3-b92a-00b53454d492","300.0"
"Range","100.0","Range_3","False","db7e2b95-2ead-4f32-a27c-4832779e28bd","50.0"
