"description","instanceType","id","uuid:ID","name","label"
"Dictionary for IE","SyntaxTemplateDictionary","SyntaxTemplateDictionary_1","7e62fc5d-2efd-4f91-8f6e-763fe6a31afa","IE_Dict","IE Dictionary"
"Dictionary for Study Assessments","SyntaxTemplateDictionary","SyntaxTemplateDictionary_2","7eabec28-7124-4763-ac9b-4164bce6258e","AS_Dict","Assessment Dictionary"
