"instanceType","isRequired","id","uuid:ID","datatype","name","label","isEnabled"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_116","6f2f255f-e70c-47cd-95c2-3bbf00475f4f","string","Sex","Sex","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_117","12326ccb-9bef-41d5-81bd-0ae91bb5188a","string","Race","Race","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_118","b030e9f7-b48c-4624-bfce-3a63f91a08ac","","VSTESTCD","VSTESTCD","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_119","cc50e295-ea60-4ef6-9eb7-3b99fdcb56dc","float","VSORRES","VSORRES","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_120","0e419fe5-9210-4543-a0e8-15da9cb67cec","","VSORRESU","VSORRESU","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_121","f4209e82-7258-499d-a299-59c4c32fdb2d","","VSLOC","VSLOC","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_122","24c57402-81c1-45f4-8d1e-1ab215d8f856","","VSTESTCD","VSTESTCD","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_123","33973365-971a-42a8-96c9-4d30848fb55d","float","VSORRES","VSORRES","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_124","3f8b39ae-cdcd-48e8-b931-93203567548e","","VSORRESU","VSORRESU","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_125","6ab1c820-2be5-4425-9c1d-d11905a0873c","","VSTESTCD","VSTESTCD","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_126","2873dfad-e0be-479c-b60a-dc67243c311a","float","VSORRES","VSORRES","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_127","b4173dae-0a30-4125-b0cc-7d2797f1e923","","VSORRESU","VSORRESU","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_128","f04bf085-b299-4b6c-8903-16b14c220994","","LBTESTCD","LBTESTCD","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_129","fa4a8306-c7c7-4334-8ae1-3aaa7a84eeb0","float","LBORRES","LBORRES","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_130","02d4a848-423f-4feb-9c9f-ccd8daa29dcc","","LBORRESU","LBORRESU","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_131","e140043a-d77e-4ee8-b231-f959926c843f","","LBSPEC","LBSPEC","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_132","bcf40e92-9384-4e85-90c8-cfe9321ac768","","LBFAST","LBFAST","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_133","7182114a-b74b-4397-87f2-30b1920cf126","","LBTESTCD","LBTESTCD","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_134","8554745c-f973-4074-b581-b4dcf8b99186","text","LBORRES","LBORRES","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_135","57e057f3-2372-4719-95d1-d26ab87ebad8","","LBSPEC","LBSPEC","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_136","1ed6348a-f308-43d7-94ba-c56b28c5ed4a","","LBFAST","LBFAST","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_137","29356640-247f-4c83-88e1-83957c9edc08","","LBTESTCD","LBTESTCD","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_138","588df5e6-b1fe-4346-9ade-69f1831938f3","float","LBORRES","LBORRES","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_139","59fb4680-b068-4bf2-91b2-0fee8f034862","","LBORRESU","LBORRESU","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_140","5c6bb546-779a-4354-a81b-9a1ebbcb7479","","LBSPEC","LBSPEC","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_141","232561c9-f51f-429c-a34c-378736cf0114","","LBFAST","LBFAST","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_142","f676d401-1253-4deb-9925-7a2effe44c58","","LBTESTCD","LBTESTCD","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_143","5f0f4fc1-fd54-4f5b-b180-d08662a75e68","float","LBORRES","LBORRES","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_144","b14b846d-eb38-40d9-b2d8-f07404823fee","","LBORRESU","LBORRESU","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_145","6be65176-c08c-4165-b9c8-c6755cc0a2c2","","LBSPEC","LBSPEC","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_146","d6dcbcf3-fe1f-4d0b-be66-99f22b622c43","","LBFAST","LBFAST","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_147","bfeb5c94-a212-4657-881b-d104a4f1e549","","LBTESTCD","LBTESTCD","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_148","d39b2845-78d5-4984-b260-5e41d1346af8","float","LBORRES","LBORRES","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_149","6f08a7a4-e6e5-4c97-bcae-050fa152c7e2","","LBORRESU","LBORRESU","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_150","5290d666-7202-4889-8e3b-31b0d51f685c","","LBSPEC","LBSPEC","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_151","95965980-55aa-4d61-9db6-98caaa3bbc2a","","LBFAST","LBFAST","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_152","eb938af7-0af7-4c7e-9732-99b72fa2bd16","","LBTESTCD","LBTESTCD","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_153","e32c2242-797e-4866-bb7b-1aa9ef9fea80","float","LBORRES","LBORRES","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_154","0207e7eb-259b-46af-a76e-28d9b12cbe79","","LBORRESU","LBORRESU","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_155","08d0071a-d242-4bf5-beeb-44e3e561a65a","","LBSPEC","LBSPEC","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_156","c4271c9a-aa11-4477-b91f-01b609b68ef2","","LBFAST","LBFAST","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_157","767474ce-7d1d-4061-b74a-4cf9254594e4","","LBTESTCD","LBTESTCD","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_158","c0ad0041-3895-4268-bbec-1ee2b16bebcb","float","LBORRES","LBORRES","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_159","39640c47-6296-4c7b-b706-da7649d7af41","","LBORRESU","LBORRESU","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_160","eb7742e4-8fee-47d3-adf8-5fb9f2d6481b","","LBSPEC","LBSPEC","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_161","2b8cba05-1ca4-4cd9-be42-fa97786d52d7","","LBFAST","LBFAST","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_162","0e7bec2e-88dc-4566-a86c-723685d877e6","","LBTESTCD","LBTESTCD","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_163","50ed4276-4997-4f18-879b-1f6245208cee","float","LBORRES","LBORRES","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_164","0716872d-5b29-449f-a421-a0be47b1f9db","","LBORRESU","LBORRESU","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_165","a0b999cb-3cdb-4f61-b73e-d07062dd4e87","","LBSPEC","LBSPEC","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_166","0f8ca4a4-8dba-4741-ad82-f4eba3ee22ba","","LBFAST","LBFAST","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_1","dcd5d446-a4ca-4a8b-bc36-fde3e1685898","text","AETERM","AETERM","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_2","53ecaf06-4996-472f-9c17-4c11a0d77311","text","AEDECOD","AEDECOD","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_3","ebe7ad30-52d8-4103-8720-8089d922f8f9","text","AEPRESP","AEPRESP","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_4","d08561c4-9aaa-472e-8404-e7e461bf2056","text","AELOC","AELOC","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_5","a93dcfec-fb18-40de-a63e-c823da7462a5","text","AESEV","AESEV","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_6","8d80a750-136b-42e0-b0c4-776b1b69d48d","text","AESER","AESER","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_7","9d75a235-18ff-49fe-8cec-1d7270107531","text","AEACN","AEACN","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_8","576ce12e-40af-47e8-9648-771e908fe203","text","AEACNOTH","AEACNOTH","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_9","d50510ba-c329-447e-8d38-862c51d9c80c","text","AEREL","AEREL","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_10","3a4844d0-deeb-4187-aa8d-7070208dde0d","text","AERELNST","AERELNST","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_11","86dd18a1-d0eb-4a8d-8893-df07f2ce334a","text","AEPATT","AEPATT","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_12","2180eb88-c3d4-4d9a-823c-1e17b3655203","text","AEOUT","AEOUT","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_13","d3fc8c09-04cd-4fee-8a53-e14008f8c660","text","AESCAN","AESCAN","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_14","50795171-e53f-456e-b9d1-64291732fafd","text","AESCONG","AESCONG","True"
"BiomedicalConceptProperty","True","BiomedicalConceptProperty_15","c297dffb-557b-4acb-8746-4ef96259c179","text","AESDISAB","AESDISAB","True"
