"id","otherReason","uuid:ID","instanceType"
"StudyAmendmentReason_1","","a06bd1d7-9a70-42ed-844b-9666ece44820","StudyAmendmentReason"
"StudyAmendmentReason_2","Fix typographical errors","8ffbe8fb-52ba-4a40-ba6e-0e3450596c34","StudyAmendmentReason"
