"description","instanceType","id","uuid:ID","dateValue","name","label"
"Design approval date","GovernanceDate","GovernanceDate_1","f9c2226a-6a1d-401c-8a88-a6ddfff24e7b","2006-06-01","D_APPROVE","Design Approval"
"Protocol document approval date","GovernanceDate","GovernanceDate_2","d0f11c7e-8f29-4173-a538-2e877a98c459","2006-07-01","P_APPROVE","Protocol Approval"
