"name","uuid:ID","datatype","id","label","isRequired","isEnabled","instanceType"
"Sex","1f12380e-3886-4b7e-abfb-a33cba1eb22b","string","BiomedicalConceptProperty_116","Sex","True","True","BiomedicalConceptProperty"
"Race","d8b743c0-f28c-4a37-bfca-99b3857af35f","string","BiomedicalConceptProperty_117","Race","True","True","BiomedicalConceptProperty"
"VSTESTCD","6ab7ca52-3bf5-4c2d-b38c-bc30be53f86c","","BiomedicalConceptProperty_118","VSTESTCD","True","True","BiomedicalConceptProperty"
"VSORRES","bc5cf9ff-0e08-4d1c-aba6-b0eaee029f03","float","BiomedicalConceptProperty_119","VSORRES","True","True","BiomedicalConceptProperty"
"VSORRESU","57a1fabd-0db4-477b-9972-3aac8c5ec383","","BiomedicalConceptProperty_120","VSORRESU","True","True","BiomedicalConceptProperty"
"VSLOC","ef3c0d33-617d-49ad-8135-91e263bebf01","","BiomedicalConceptProperty_121","VSLOC","True","True","BiomedicalConceptProperty"
"VSTESTCD","6560e829-5263-4a0f-afc6-c908c9404b9d","","BiomedicalConceptProperty_122","VSTESTCD","True","True","BiomedicalConceptProperty"
"VSORRES","582524c4-b5ad-4b22-96a5-cbe65bfb1225","float","BiomedicalConceptProperty_123","VSORRES","True","True","BiomedicalConceptProperty"
"VSORRESU","63a5c567-8dbe-43e0-b915-5e573e212357","","BiomedicalConceptProperty_124","VSORRESU","True","True","BiomedicalConceptProperty"
"VSTESTCD","117354d7-4567-4a34-9054-6a5cea5b11a9","","BiomedicalConceptProperty_125","VSTESTCD","True","True","BiomedicalConceptProperty"
"VSORRES","7b324fab-43bf-4023-9737-7abaa3a742eb","float","BiomedicalConceptProperty_126","VSORRES","True","True","BiomedicalConceptProperty"
"VSORRESU","2e3a0233-fe37-42bf-8690-20078cbdc04c","","BiomedicalConceptProperty_127","VSORRESU","True","True","BiomedicalConceptProperty"
"LBTESTCD","037f93e9-9103-4f98-9610-77aa61b5d092","","BiomedicalConceptProperty_128","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","73bf601f-2fee-4663-904f-1f02ad32b716","float","BiomedicalConceptProperty_129","LBORRES","True","True","BiomedicalConceptProperty"
"LBORRESU","9153578f-d973-4bdb-a7e4-62ed7b628c16","","BiomedicalConceptProperty_130","LBORRESU","True","True","BiomedicalConceptProperty"
"LBSPEC","56a0dbfa-737f-4fa1-b3a8-cf45cfee44a4","","BiomedicalConceptProperty_131","LBSPEC","True","True","BiomedicalConceptProperty"
"LBFAST","60d7c9a3-6a45-478c-8574-c3892cfb364a","","BiomedicalConceptProperty_132","LBFAST","True","True","BiomedicalConceptProperty"
"LBTESTCD","764fc1d4-b58b-43f4-a94e-8c8c06e0f67c","","BiomedicalConceptProperty_133","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","ba47e592-aa49-4632-99b6-abb117c90cf7","text","BiomedicalConceptProperty_134","LBORRES","True","True","BiomedicalConceptProperty"
"LBSPEC","1dde9810-2a95-4501-b956-7dfcf5796ee1","","BiomedicalConceptProperty_135","LBSPEC","True","True","BiomedicalConceptProperty"
"LBFAST","22c497f1-740b-4784-914c-3265f48c1505","","BiomedicalConceptProperty_136","LBFAST","True","True","BiomedicalConceptProperty"
"LBTESTCD","5a19d4aa-8de4-4b3e-820c-9a5d2de9d56a","","BiomedicalConceptProperty_137","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","e6af4248-17c4-4eb3-892f-4bd59dbab682","float","BiomedicalConceptProperty_138","LBORRES","True","True","BiomedicalConceptProperty"
"LBORRESU","0a4b71a3-88f2-4b23-8b85-042a47f5f8ea","","BiomedicalConceptProperty_139","LBORRESU","True","True","BiomedicalConceptProperty"
"LBSPEC","b39323ea-8665-44be-b1cb-b9a0d06eaade","","BiomedicalConceptProperty_140","LBSPEC","True","True","BiomedicalConceptProperty"
"LBFAST","02ac0a46-824a-46b0-9dd4-6e5271bc912e","","BiomedicalConceptProperty_141","LBFAST","True","True","BiomedicalConceptProperty"
"LBTESTCD","f9cae5fa-3084-4e6d-a728-7249b94d8a72","","BiomedicalConceptProperty_142","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","2b4f5cba-acd1-41f0-ae25-a28bf71e1013","float","BiomedicalConceptProperty_143","LBORRES","True","True","BiomedicalConceptProperty"
"LBORRESU","bde7cb85-5cf4-4f21-bca0-3764fcfd3bec","","BiomedicalConceptProperty_144","LBORRESU","True","True","BiomedicalConceptProperty"
"LBSPEC","5a290145-dc06-43a7-8d66-07f00e621779","","BiomedicalConceptProperty_145","LBSPEC","True","True","BiomedicalConceptProperty"
"LBFAST","115bcc27-9caa-4913-9d6a-0ec1e138dd35","","BiomedicalConceptProperty_146","LBFAST","True","True","BiomedicalConceptProperty"
"LBTESTCD","f4afc11b-4853-4942-b3c5-ef5d5fac59a1","","BiomedicalConceptProperty_147","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","855a6359-eb5d-4008-933a-87286e826b32","float","BiomedicalConceptProperty_148","LBORRES","True","True","BiomedicalConceptProperty"
"LBORRESU","a84e6bbc-f408-4eea-bdaf-5179ec137841","","BiomedicalConceptProperty_149","LBORRESU","True","True","BiomedicalConceptProperty"
"LBSPEC","a535195d-7a66-4c38-9e5f-aa28dc0798eb","","BiomedicalConceptProperty_150","LBSPEC","True","True","BiomedicalConceptProperty"
"LBFAST","00f30988-3de3-4544-afa1-c76b8cb96b7d","","BiomedicalConceptProperty_151","LBFAST","True","True","BiomedicalConceptProperty"
"LBTESTCD","baa39a4c-de8a-4e3d-b8ed-56083444ff42","","BiomedicalConceptProperty_152","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","2810c242-bbca-425e-bdcf-cec1bbf9afbc","float","BiomedicalConceptProperty_153","LBORRES","True","True","BiomedicalConceptProperty"
"LBORRESU","c593780e-7da2-4cfb-af15-41a1f70ed056","","BiomedicalConceptProperty_154","LBORRESU","True","True","BiomedicalConceptProperty"
