"otherReason","uuid:ID","id","instanceType"
"","144282dc-1c4f-4b47-aa1e-bf9128c007b7","StudyAmendmentReason_1","StudyAmendmentReason"
"Fix typographical errors","2b1f58f1-b00b-40d7-a664-966f8ad0bab7","StudyAmendmentReason_2","StudyAmendmentReason"
