"uuid:ID","id","isApproximate","minValue","instanceType","maxValue"
"5df4e8bb-e637-484b-878e-1ac642bbb72a","Range_2","False","300.0","Range","300.0"
"b85d5e53-e282-4b9f-b75e-b9eb487ac89d","Range_1","False","300.0","Range","300.0"
"c3f1555a-cd42-4917-bef8-2429596c868f","Range_3","False","50.0","Range","100.0"
