"instanceType","uuid:ID","id","otherReason"
"StudyAmendmentReason","8d13f9f6-2955-4ca4-9c18-13791051e0ff","StudyAmendmentReason_1",""
"StudyAmendmentReason","0e835516-d813-45e8-97cc-b5342b04aac0","StudyAmendmentReason_2","Fix typographical errors"
