"instanceType","uuid:ID","id"
"StudyCell","f914fb8b-d6a7-45b5-a1ec-faf77623dbde","StudyCell_1"
"StudyCell","38df49be-a36b-461f-bedc-123b656989a1","StudyCell_2"
"StudyCell","7f4bc0ba-83ae-40d3-8715-bb8649b6b5c0","StudyCell_3"
"StudyCell","5a8eac6d-4c8c-4395-9cc8-ebac048b2237","StudyCell_4"
"StudyCell","a92cf147-e0b8-4821-90a4-4e89c209b5ff","StudyCell_5"
"StudyCell","10d751c2-28ab-4aee-ae49-f2761cd85bcf","StudyCell_6"
"StudyCell","a95b85f4-39fe-4739-9c79-e57b59524fe2","StudyCell_7"
"StudyCell","fcff793f-5c52-41cd-866e-dc84b455352c","StudyCell_8"
"StudyCell","e1398403-bd01-4349-8e0b-7b682e74b357","StudyCell_9"
"StudyCell","51f7c9ee-a32b-4b26-9208-a7990bc42fb7","StudyCell_10"
"StudyCell","40b2f8e5-e9c0-4e16-b48d-161408d2955b","StudyCell_11"
"StudyCell","2886405e-048f-40b7-9726-7d5f1c8fd290","StudyCell_12"
"StudyCell","e3119e99-1be3-4e5b-a0ae-527a795da2b9","StudyCell_13"
"StudyCell","ec63929e-1963-4439-8ec6-e5efcd43b4f9","StudyCell_14"
"StudyCell","6c113f7f-f985-4af3-9838-197ab2a3e75f","StudyCell_15"
