"dateValue","instanceType","label","uuid:ID","description","name","id"
"2006-06-01","GovernanceDate","Design Approval","97c7359c-119b-4e43-b9eb-602ddd9c3f46","Design approval date","D_APPROVE","GovernanceDate_1"
"2006-07-01","GovernanceDate","Protocol Approval","f8b0fe2e-c645-4e2f-a0fa-863c7b5a3348","Protocol document approval date","P_APPROVE","GovernanceDate_2"
