"id","label","uuid:ID","description","name","instanceType"
"SyntaxTemplateDictionary_1","IE Dictionary","1a33e194-8962-44e3-bd4d-02cc20d73942","Dictionary for IE","IE_Dict","SyntaxTemplateDictionary"
"SyntaxTemplateDictionary_2","Assessment Dictionary","548d1af1-8239-4fc3-86db-f9094e03433a","Dictionary for Study Assessments","AS_Dict","SyntaxTemplateDictionary"
