"otherReason","uuid:ID","instanceType","id"
"","5f485ffc-41ee-43b3-8d73-928ad65f226a","StudyAmendmentReason","StudyAmendmentReason_1"
"Fix typographical errors","ad7fd980-9a74-4a66-90c9-bb21e439da4a","StudyAmendmentReason","StudyAmendmentReason_2"
