"id","maxValue","minValue","instanceType","isApproximate","uuid:ID"
"Range_2","300.0","300.0","Range","False","f77278d3-d590-4697-9068-5963cff86e5e"
"Range_1","300.0","300.0","Range","False","d4658309-0ca1-4eb0-9074-9c5bfe7d465e"
"Range_3","100.0","50.0","Range","False","a322efbc-034e-483b-88d6-6c895d9b2e25"
