"description","id","label","instanceType","name","dateValue","uuid:ID"
"Design approval date","GovernanceDate_1","Design Approval","GovernanceDate","D_APPROVE","2006-06-01","94852943-8db8-4376-a614-fe127e48c4d5"
"Protocol document approval date","GovernanceDate_2","Protocol Approval","GovernanceDate","P_APPROVE","2006-07-01","74da0637-bed0-4777-9a11-caed38b7e152"
