"minValue","isApproximate","uuid:ID","maxValue","id","instanceType"
"300.0","False","55374a6c-45eb-4d65-811e-93a9f19d7a95","300.0","Range_2","Range"
"300.0","False","5fdd5f73-37cc-42e0-ae27-8ae17c78b8de","300.0","Range_1","Range"
"50.0","False","6d097674-a7f1-44da-a996-05b71007edc6","100.0","Range_3","Range"
