"uuid:ID","instanceType","id","otherReason"
"ffe3891e-05e1-4e5e-a558-5325bb78a042","StudyAmendmentReason","StudyAmendmentReason_1",""
"18d24bfe-746f-4296-a30d-6ac10501061c","StudyAmendmentReason","StudyAmendmentReason_2","Fix typographical errors"
