"name","uuid:ID","datatype","id","label","isRequired","isEnabled","instanceType"
"Sex","b3506262-b22d-4c2a-ad00-09acbfa0511c","string","BiomedicalConceptProperty_116","Sex","True","True","BiomedicalConceptProperty"
"Race","22e53cd4-d7ab-45d8-8de9-fcba82f864ae","string","BiomedicalConceptProperty_117","Race","True","True","BiomedicalConceptProperty"
"VSTESTCD","f8b02e43-7882-4e6d-ad5a-2d2823a152e4","","BiomedicalConceptProperty_118","VSTESTCD","True","True","BiomedicalConceptProperty"
"VSORRES","bf54c70a-4e2f-44d5-85d9-584f73f0368f","float","BiomedicalConceptProperty_119","VSORRES","True","True","BiomedicalConceptProperty"
"VSORRESU","a419acba-1dbd-46eb-8359-44df14c9dee3","","BiomedicalConceptProperty_120","VSORRESU","True","True","BiomedicalConceptProperty"
"VSLOC","75c6458e-9fac-4eb1-b4f9-f9edecfa9e5e","","BiomedicalConceptProperty_121","VSLOC","True","True","BiomedicalConceptProperty"
"VSTESTCD","b1e3a933-fc30-47e5-bfc9-b25d1d0b6fa2","","BiomedicalConceptProperty_122","VSTESTCD","True","True","BiomedicalConceptProperty"
"VSORRES","7bf4e3c7-23b3-4307-a6f2-dfb441c7d903","float","BiomedicalConceptProperty_123","VSORRES","True","True","BiomedicalConceptProperty"
"VSORRESU","9435c60f-1f0e-4f11-8753-798df7b8e9a0","","BiomedicalConceptProperty_124","VSORRESU","True","True","BiomedicalConceptProperty"
"VSTESTCD","ab23f848-2d36-4064-87ba-5958137134cb","","BiomedicalConceptProperty_125","VSTESTCD","True","True","BiomedicalConceptProperty"
"VSORRES","1a6e73f7-051b-45ca-b178-7901ad268b06","float","BiomedicalConceptProperty_126","VSORRES","True","True","BiomedicalConceptProperty"
"VSORRESU","bcda8d4c-0158-41ab-8166-ae249d1b169d","","BiomedicalConceptProperty_127","VSORRESU","True","True","BiomedicalConceptProperty"
"LBTESTCD","1ab1bb40-a815-4d22-9101-7906598effbc","","BiomedicalConceptProperty_128","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","d3a8b57a-849e-4f32-b47f-34ef36b9a6e6","float","BiomedicalConceptProperty_129","LBORRES","True","True","BiomedicalConceptProperty"
"LBORRESU","fc5e3c91-c6ca-4d8f-88ea-6477e2429367","","BiomedicalConceptProperty_130","LBORRESU","True","True","BiomedicalConceptProperty"
"LBSPEC","c9d064e5-cbb9-457f-b882-f8a93de3490c","","BiomedicalConceptProperty_131","LBSPEC","True","True","BiomedicalConceptProperty"
"LBFAST","786903c0-6c50-41e1-a576-50a6542db68e","","BiomedicalConceptProperty_132","LBFAST","True","True","BiomedicalConceptProperty"
"LBTESTCD","8473c0d9-a19c-4f79-b0ed-e594fe290e69","","BiomedicalConceptProperty_133","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","186d4996-c921-4785-b84e-71215bcc2ceb","text","BiomedicalConceptProperty_134","LBORRES","True","True","BiomedicalConceptProperty"
"LBSPEC","f0ad3151-ff04-4245-8aa4-3326a431e4cd","","BiomedicalConceptProperty_135","LBSPEC","True","True","BiomedicalConceptProperty"
"LBFAST","b9ae285a-99c3-4dba-87fb-4e0f47217e7b","","BiomedicalConceptProperty_136","LBFAST","True","True","BiomedicalConceptProperty"
"LBTESTCD","6722e93f-8d14-4640-8c05-758f28826694","","BiomedicalConceptProperty_137","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","b872997e-aa91-4513-b7ad-abca03e5b233","float","BiomedicalConceptProperty_138","LBORRES","True","True","BiomedicalConceptProperty"
"LBORRESU","f80fe485-333c-4d7d-a2fd-0e376b5675a2","","BiomedicalConceptProperty_139","LBORRESU","True","True","BiomedicalConceptProperty"
"LBSPEC","788cf0a9-2e61-4d98-906e-28bb6c9adaa6","","BiomedicalConceptProperty_140","LBSPEC","True","True","BiomedicalConceptProperty"
"LBFAST","6bbd83d6-f2a1-417b-b4b3-4c0644423e89","","BiomedicalConceptProperty_141","LBFAST","True","True","BiomedicalConceptProperty"
"LBTESTCD","ca180c8d-b8d6-4d04-a67b-5f143e2fcd4d","","BiomedicalConceptProperty_142","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","b96f52f1-1905-4ae0-86bd-300fe9fa315b","float","BiomedicalConceptProperty_143","LBORRES","True","True","BiomedicalConceptProperty"
"LBORRESU","4f4552a0-bd20-4606-ba49-7a0298df5fbd","","BiomedicalConceptProperty_144","LBORRESU","True","True","BiomedicalConceptProperty"
"LBSPEC","d58688c6-9d1a-4d69-8b7e-9048edebaba3","","BiomedicalConceptProperty_145","LBSPEC","True","True","BiomedicalConceptProperty"
"LBFAST","33d1fedd-21bf-413f-9150-37048bb88814","","BiomedicalConceptProperty_146","LBFAST","True","True","BiomedicalConceptProperty"
"LBTESTCD","2dfc6d2a-fec8-4a5f-b62a-96282f53bc06","","BiomedicalConceptProperty_147","LBTESTCD","True","True","BiomedicalConceptProperty"
"LBORRES","9f38b375-c3e1-41d1-9266-dc9af886e653","float","BiomedicalConceptProperty_148","LBORRES","True","True","BiomedicalConceptProperty"
"LBORRESU","976d6451-5638-4011-acd0-3421df32c9a7","","BiomedicalConceptProperty_149","LBORRESU","True","True","BiomedicalConceptProperty"
"LBSPEC","72339881-d0ae-4cbc-9262-972471b704e5","","BiomedicalConceptProperty_150","LBSPEC","True","True","BiomedicalConceptProperty"
"LBFAST","afc72527-df2f-4150-acf5-2fe5f0dd43cf","","BiomedicalConceptProperty_151","LBFAST","True","True","BiomedicalConceptProperty"
