"name","uuid:ID","id","label","description","instanceType"
"Screening","d10279db-b177-4d36-bc6d-38c36f8e6653","StudyEpoch_1","Screening","Screening Epoch","StudyEpoch"
"Treatment 1","749646a6-ee11-4005-9572-7642425f9781","StudyEpoch_2","Treatment One","Treatment Epoch","StudyEpoch"
"Treatment 2","3d268b66-3812-48e1-95c5-d7dcac3dd1f4","StudyEpoch_3","Treatment Two","Treatment Epoch","StudyEpoch"
"Treatment 3","80816bb0-0811-45f5-98c4-1dd6c85b9005","StudyEpoch_4","Treatment Three","Treatment Epoch","StudyEpoch"
"Follow-Up","92b73125-fc83-44e0-b534-8bc5ce8d3287","StudyEpoch_5","Follow Up","Follow-up Epoch","StudyEpoch"
